Date;Mean Streamflow
24/03/1948;1.2
25/03/1948;2.3
26/03/1948;1.43
27/03/1948;1.27
28/03/1948;1.17
29/03/1948;1.14
30/03/1948;1.2
31/03/1948;2.8
01/04/1948;2.03
02/04/1948;1.4
03/04/1948;2.88
04/04/1948;1.85
05/04/1948;1.5
06/04/1948;1.5
07/04/1948;1.36
08/04/1948;1.27
09/04/1948;1.17
10/04/1948;1.14
11/04/1948;1.05
12/04/1948;1.02
13/04/1948;0.99
14/04/1948;0.96
15/04/1948;0.94
16/04/1948;0.91
17/04/1948;0.88
18/04/1948;0.88
19/04/1948;0.85
20/04/1948;0.91
21/04/1948;0.96
22/04/1948;0.83
23/04/1948;0.77
24/04/1948;0.75
25/04/1948;0.77
26/04/1948;0.77
27/04/1948;0.72
28/04/1948;0.75
29/04/1948;0.72
30/04/1948;0.67
01/05/1948;0.65
02/05/1948;1.08
03/05/1948;0.7
04/05/1948;0.85
05/05/1948;1.7
06/05/1948;3.24
07/05/1948;1.2
08/05/1948;1.05
09/05/1948;0.88
10/05/1948;0.8
11/05/1948;0.77
12/05/1948;0.75
13/05/1948;0.72
14/05/1948;0.7
15/05/1948;0.67
16/05/1948;0.83
17/05/1948;3.7
18/05/1948;1.5
19/05/1948;1.05
20/05/1948;0.91
21/05/1948;0.83
22/05/1948;0.83
23/05/1948;0.75
24/05/1948;0.75
25/05/1948;0.7
26/05/1948;0.7
27/05/1948;0.67
28/05/1948;0.88
29/05/1948;0.72
30/05/1948;0.72
31/05/1948;0.65
01/06/1948;0.62
02/06/1948;0.65
03/06/1948;0.77
04/06/1948;0.7
05/06/1948;0.62
06/06/1948;0.6
07/06/1948;0.57
08/06/1948;0.57
09/06/1948;0.57
10/06/1948;0.57
11/06/1948;0.55
12/06/1948;0.55
13/06/1948;0.6
14/06/1948;0.55
15/06/1948;0.53
16/06/1948;0.5
17/06/1948;0.5
18/06/1948;0.5
19/06/1948;0.5
20/06/1948;0.48
21/06/1948;0.48
22/06/1948;0.48
23/06/1948;0.46
24/06/1948;0.46
25/06/1948;0.46
26/06/1948;0.46
27/06/1948;0.6
28/06/1948;0.67
29/06/1948;0.55
30/06/1948;0.48
07/10/1948;0.36
08/10/1948;0.38
09/10/1948;0.44
10/10/1948;0.42
11/10/1948;2.84
12/10/1948;1.46
13/10/1948;0.75
14/10/1948;0.57
15/10/1948;1.36
16/10/1948;0.65
17/10/1948;0.57
18/10/1948;0.53
19/10/1948;0.5
20/10/1948;0.48
21/10/1948;0.46
22/10/1948;0.44
23/10/1948;0.44
24/10/1948;0.44
25/10/1948;0.85
26/10/1948;0.48
27/10/1948;0.46
28/10/1948;0.85
29/10/1948;0.77
30/10/1948;0.55
31/10/1948;0.48
01/11/1948;0.46
02/11/1948;0.44
03/11/1948;0.46
04/11/1948;0.57
05/11/1948;0.48
06/11/1948;0.46
07/11/1948;0.46
08/11/1948;0.48
09/11/1948;0.46
10/11/1948;0.65
11/11/1948;0.48
12/11/1948;0.91
13/11/1948;0.55
14/11/1948;0.48
15/11/1948;0.46
16/11/1948;0.46
17/11/1948;0.46
18/11/1948;0.44
19/11/1948;0.44
20/11/1948;0.44
21/11/1948;0.53
22/11/1948;0.77
23/11/1948;0.48
24/11/1948;0.48
25/11/1948;0.46
26/11/1948;0.46
27/11/1948;0.48
28/11/1948;0.46
29/11/1948;0.42
30/11/1948;0.42
01/12/1948;0.42
02/12/1948;0.55
03/12/1948;0.44
04/12/1948;0.44
05/12/1948;0.62
06/12/1948;0.44
07/12/1948;0.4
08/12/1948;0.42
09/12/1948;0.38
10/12/1948;0.38
11/12/1948;0.36
12/12/1948;0.36
13/12/1948;0.36
14/12/1948;0.34
15/12/1948;0.36
16/12/1948;0.34
17/12/1948;0.4
18/12/1948;1.53
19/12/1948;0.42
20/12/1948;0.42
21/12/1948;0.38
22/12/1948;0.36
23/12/1948;0.34
24/12/1948;0.34
25/12/1948;0.34
26/12/1948;1.43
27/12/1948;0.42
28/12/1948;0.34
29/12/1948;2.38
30/12/1948;0.62
31/12/1948;0.5
01/01/1949;0.46
02/01/1949;0.44
03/01/1949;0.42
04/01/1949;0.4
05/01/1949;0.38
06/01/1949;0.36
07/01/1949;1.63
08/01/1949;2.88
